日期,股票代码,股票名称,收盘价,成交量,突破20日高,5日均线,10日均线
2025-05-20,000573,粤宏远Ａ,4.54,550196,4.55,4.386,4.377000000000001
2025-05-20,002102,能特科技,2.99,778186,3.0,2.8820000000000006,2.8739999999999997
2025-05-20,002725,跃岭股份,12.38,247404,12.2,11.93,11.928
2025-05-20,002982,湘佳股份,21.85,135937,22.33,20.996000000000002,20.912
2025-05-20,600252,中恒集团,2.57,1110645,2.51,2.478,2.475
2025-05-20,600307,酒钢宏兴,1.43,566880,1.41,1.4,1.398
2025-05-20,600501,航天晨光,21.17,419388,20.55,19.846,19.841
2025-05-20,600550,保变电气,8.55,1531361,8.12,7.896000000000001,7.877000000000001
2025-05-20,600569,安阳钢铁,1.92,365298,1.9,1.8820000000000001,1.879
2025-05-20,600658,电子城,4.55,344017,4.46,4.256,4.2379999999999995
2025-05-20,603196,日播时尚,15.08,49355,15.23,14.75,14.735
2025-05-20,603326,我乐家居,9.64,177927,9.57,8.930000000000001,8.878
2025-05-20,603980,吉华集团,5.46,1384544,5.04,4.818,4.757
2025-05-20,835174,五新隧装,42.84,179133,37.7,35.194,34.637
2025-05-21,000695,滨海能源,11.37,9243,10.34,9.952,9.758
2025-05-21,000729,燕京啤酒,13.41,244614,13.4,13.040000000000001,12.989
2025-05-21,000739,普洛药业,14.14,198306,14.18,13.973999999999998,13.961000000000002
2025-05-21,001259,利仁科技,24.57,24407,23.86,23.564,23.514000000000003
2025-05-21,001336,楚环科技,22.32,43880,20.73,20.522,20.389
2025-05-21,001366,播恩集团,11.97,58440,11.99,11.628,11.623
2025-05-21,002046,国机精工,16.98,622717,16.73,16.27,16.265
2025-05-21,002103,广博股份,10.31,453715,10.2,9.534,9.479
2025-05-21,002123,梦网科技,15.9,1675748,15.15,14.697999999999999,14.575
2025-05-21,002175,东方智造,4.9,2414845,4.8,4.618,4.607
2025-05-21,002215,诺 普 信,10.0,648255,9.99,9.483999999999998,9.465
2025-05-21,002286,保龄宝,11.42,816756,10.8,10.186,10.013000000000002
2025-05-21,002292,奥飞娱乐,9.77,1397025,9.42,9.092,9.065
2025-05-21,002345,潮宏基,11.28,546332,10.55,10.047999999999998,9.815999999999999
2025-05-21,002352,顺丰控股,45.85,500399,44.26,43.954,43.742
2025-05-21,002358,森源电气,5.45,339760,5.42,5.3,5.298
2025-05-21,002437,誉衡药业,2.61,1102713,2.67,2.5200000000000005,2.4970000000000003
2025-05-21,002456,欧菲光,13.35,3691220,12.3,12.218,12.099
2025-05-21,002480,新筑股份,6.18,289507,5.98,5.789999999999999,5.7780000000000005
2025-05-21,002522,浙江众成,5.06,733602,4.78,4.646,4.609999999999999
2025-05-21,002539,云图控股,8.72,175273,8.7,8.56,8.526
2025-05-21,002712,思美传媒,5.73,199224,5.62,5.486000000000001,5.476000000000001
2025-05-21,002727,一心堂,15.63,433158,14.7,14.244,14.139
2025-05-21,002780,三夫户外,13.02,149669,12.79,12.518,12.483999999999998
2025-05-21,002862,实丰文化,20.02,162926,19.26,18.432,18.366999999999997
2025-05-21,002878,元隆雅图,15.51,217313,15.08,14.896,14.828
2025-05-21,003026,中晶科技,32.31,32024,32.2,31.624000000000002,31.566999999999997
2025-05-21,600006,东风股份,7.83,1581195,7.25,7.206,7.172
2025-05-21,600059,古越龙山,9.36,248441,9.45,9.122,9.12
2025-05-21,600129,太极集团,21.9,224240,21.92,21.252000000000002,21.153
2025-05-21,600178,东安动力,12.75,530960,12.48,11.867999999999999,11.830000000000002
2025-05-21,600198,大唐电信,9.23,658820,8.63,8.430000000000001,8.364999999999998
2025-05-21,600218,全柴动力,8.79,65828,8.76,8.662,8.653
2025-05-21,600315,上海家化,26.0,196366,25.91,25.03,24.999000000000002
2025-05-21,600336,澳柯玛,7.98,1378867,7.66,7.302000000000001,7.2299999999999995
2025-05-21,600352,浙江龙盛,10.01,321142,10.08,9.879999999999999,9.867
2025-05-21,600521,华海药业,15.62,363513,15.26,14.522,14.404000000000002
2025-05-21,600743,华远地产,2.02,1093411,1.99,1.9000000000000004,1.8810000000000002
2025-05-21,601515,东峰集团,4.08,461413,4.16,4.052,4.036
2025-05-21,601929,吉视传媒,1.92,1980333,1.87,1.8239999999999998,1.813
2025-05-21,603004,鼎龙科技,20.95,41977,20.99,20.584,20.581
2025-05-21,603045,福达合金,16.14,97747,15.85,15.431999999999999,15.423999999999998
2025-05-21,603058,永吉股份,8.37,107201,8.1,8.036,8.001999999999999
2025-05-21,603070,万控智造,13.12,38118,13.21,12.912,12.911000000000001
2025-05-21,603101,汇嘉时代,8.12,158502,8.21,7.884,7.864
2025-05-21,603126,中材节能,6.31,93144,6.31,6.1899999999999995,6.186
2025-05-21,603163,圣晖集成,31.67,86716,29.01,28.506,28.286
2025-05-21,603182,嘉华股份,13.47,71802,13.36,13.072,13.044999999999998
2025-05-21,603378,亚士创能,6.87,432454,6.86,6.508,6.507000000000001
2025-05-21,603538,美诺华,14.47,70096,14.44,14.074000000000002,14.017000000000001
2025-05-21,603687,大胜达,7.42,186928,7.23,7.192,7.179
2025-05-21,603725,天安新材,7.91,159390,7.23,7.24,7.179
2025-05-21,603729,龙韵股份,16.2,37063,15.88,15.687999999999999,15.641
